id_commande,id_client,date_commande
1,2285,2024-01-06 23:52:42
2,4174,2023-09-20 17:22:55
3,1213,2023-01-23 09:46:33
4,9855,2024-11-19 16:08:09
5,4142,2024-06-20 09:00:57
6,9211,2023-06-19 18:47:27
7,3700,2024-03-26 23:09:11
8,6035,2024-10-25 10:01:09
9,3258,2023-01-09 19:27:09
10,9882,2024-12-15 22:32:19
11,5199,2023-10-31 20:08:01
12,4395,2024-10-30 13:34:47
13,7097,2023-04-06 02:32:11
14,4956,2023-07-18 01:41:23
15,8397,2024-10-30 05:07:45
16,169,2025-03-15 08:09:15
17,6560,2023-12-22 12:47:12
18,4857,2024-12-07 10:04:06
19,6744,2024-10-10 08:28:12
20,8686,2023-01-31 11:11:33
21,3490,2025-01-09 09:10:16
22,5243,2023-03-18 14:37:41
23,3296,2023-12-13 06:00:10
24,292,2023-01-07 11:42:31
25,3484,2023-04-29 08:38:35
26,9426,2024-01-04 13:55:28
27,6705,2023-06-18 16:09:13
28,1823,2023-12-01 01:38:44
29,8387,2024-06-28 17:32:00
30,8197,2024-11-09 05:54:42
31,957,2024-03-02 21:29:28
32,9896,2024-06-11 17:28:54
33,394,2024-04-11 20:37:01
34,6337,2023-08-13 09:19:51
35,7727,2024-10-24 05:28:29
36,5893,2024-03-04 12:42:15
37,8999,2024-01-23 09:33:43
38,272,2024-02-08 23:46:48
39,8737,2024-03-11 16:53:20
40,5655,2024-01-05 00:27:58
41,8831,2025-01-08 10:24:50
42,7246,2023-08-31 02:47:21
43,1618,2024-10-01 16:14:59
44,6508,2024-10-06 12:59:51
45,5331,2023-07-31 08:55:30
46,9660,2024-04-01 19:02:44
47,6753,2023-04-28 14:47:10
48,2797,2023-03-30 23:10:45
49,1555,2024-05-22 19:57:06
50,5125,2024-11-03 15:40:23
51,6769,2024-09-27 17:50:40
52,105,2024-07-23 17:53:20
53,9452,2025-03-22 06:44:31
54,8064,2023-05-01 09:49:19
55,7392,2025-01-01 18:45:18
56,9512,2025-01-31 18:19:39
57,2807,2023-12-16 16:06:17
58,3742,2025-01-22 16:07:35
59,3484,2025-01-22 14:35:35
60,9777,2024-09-09 05:45:09
61,987,2025-03-05 16:45:58
62,1612,2024-09-27 18:27:24
63,7879,2025-03-08 14:43:46
64,4835,2025-02-05 01:44:14
65,8849,2023-03-10 15:49:57
66,6720,2024-11-23 21:11:03
67,2046,2023-04-02 22:19:47
68,2398,2025-01-27 17:43:51
69,9602,2024-01-01 07:53:28
70,7591,2023-10-15 17:31:10
71,8423,2024-01-27 09:39:59
72,2051,2025-01-26 18:44:16
73,9994,2024-07-28 22:18:40
74,7105,2024-01-19 09:46:21
75,4419,2023-08-11 15:08:48
76,7497,2023-03-12 12:17:15
77,7219,2023-05-23 00:28:23
78,4803,2023-04-13 22:51:18
79,8341,2023-06-18 08:40:28
80,397,2023-05-11 12:28:18
81,9782,2023-10-11 22:13:33
82,5374,2024-07-12 09:47:47
83,8406,2024-04-20 22:08:02
84,8256,2024-11-13 07:59:19
85,2335,2024-02-06 19:11:13
86,1561,2024-04-25 22:59:50
87,7356,2023-07-25 07:18:57
88,1993,2023-05-18 14:32:35
89,3817,2024-05-22 14:26:26
90,4166,2024-01-07 04:24:35
91,9268,2023-08-27 10:27:58
92,2060,2023-07-25 13:27:20
93,72,2023-11-10 21:37:23
94,4766,2023-05-27 20:00:35
95,4294,2025-02-26 12:30:40
96,2968,2023-01-11 15:42:14
97,605,2025-02-23 00:33:37
98,19,2024-02-14 20:31:11
99,3078,2024-08-03 03:45:32
100,919,2025-01-13 16:01:01
101,1458,2024-04-30 19:57:46
102,3181,2023-04-15 02:23:01
103,9510,2023-12-01 03:16:40
104,2556,2024-06-26 16:58:08
105,538,2025-02-21 16:26:18
106,8822,2023-10-05 11:37:54
107,3107,2025-03-29 21:56:53
108,7536,2024-12-02 18:36:58
109,4578,2025-01-10 13:26:52
110,6219,2024-12-23 20:37:22
111,2553,2023-01-18 15:09:59
112,3915,2023-06-07 14:25:45
113,9537,2024-05-20 02:48:22
114,9220,2024-05-10 02:15:30
115,8147,2024-05-19 10:35:54
116,9501,2023-07-19 06:55:50
117,6112,2023-12-23 12:18:05
118,862,2023-08-18 22:07:42
119,6160,2023-01-16 18:30:14
120,4242,2023-05-22 17:20:34
121,8023,2025-02-25 17:58:47
