id_ligne,id_commande,id_produit,quantite
1,20274,1662,5
2,37032,445,6
3,38820,1426,7
4,17386,710,5
5,36565,1703,9
6,33449,1932,1
7,3767,477,9
8,44891,1455,5
9,19578,1297,9
10,39469,11,10
11,10519,1585,3
12,22798,1881,6
13,40475,152,8
14,7460,1618,9
15,34151,678,9
16,5849,770,5
17,37509,981,3
18,4327,842,5
19,32295,1846,6
20,26135,522,8
21,9467,395,2
22,18560,603,6
23,41684,719,2
24,14693,894,3
25,24251,378,8
26,31697,1776,10
27,27861,1593,9
28,40634,342,8
29,15499,471,5
30,1561,154,8
31,42904,390,6
32,5286,312,3
33,34989,325,8
34,15898,653,2
35,30965,1007,6
36,6858,1817,9
37,37711,1585,5
38,768,1778,7
39,44085,22,2
40,15405,1280,2
41,42184,1834,4
42,23678,1559,7
43,29445,491,9
44,31091,83,6
45,23391,1745,2
46,19850,474,3
47,46550,1754,9
48,46664,821,1
49,13671,336,3
50,3014,138,6
51,2403,1488,1
52,32156,1383,9
53,15014,288,1
54,2370,359,10
55,42908,509,1
56,35919,407,1
57,27451,985,10
58,33754,668,5
59,37079,1497,10
60,42932,1239,5
61,33368,863,1
62,17635,1073,4
63,15712,1657,9
64,38887,1697,6
65,6069,1873,1
66,15980,364,2
67,47419,1443,4
68,44449,1220,10
69,35009,936,10
70,16164,632,8
71,13960,1194,10
72,38459,999,8
73,29038,619,4
74,14993,1260,6
75,43059,816,4
76,41519,271,3
77,24219,163,9
78,7468,1145,8
79,23459,1971,8
80,43351,1903,8
81,5050,530,6
82,20277,1514,2
83,13461,1296,5
84,19178,1925,4
85,4416,513,1
86,47866,1559,10
87,1079,130,2
88,34872,388,9
89,47357,465,7
90,46756,1385,1
91,12409,1028,6
92,40252,532,2
93,19742,1557,10
94,12597,1204,10
95,32566,1953,3
96,22944,1005,1
97,8229,133,10
98,38973,596,7
99,24600,1062,2
100,23209,455,5
101,3463,530,4
102,34006,1168,10
103,26610,1403,6
104,15673,1133,9
105,34129,1599,7
106,40872,1468,5
107,19905,911,3
108,41943,597,7
109,4218,371,3
110,6877,162,4
111,31814,964,3
112,10117,794,4
113,42789,73,6
114,16549,1404,9
115,30592,198,1
116,40594,1593,7
117,41153,1141,7
118,45053,1206,7
119,14033,727,9
120,25898,1366,5
121,11212,1657,4
122,42796,187,6
123,2782,705,2
124,16046,349,1
125,14422,214,3
126,43378,49,3
127,17555,995,1
128,22759,538,3
129,44630,1596,3
130,17869,21,5
131,37114,349,7
132,48202,1184,3
133,19940,1616,10
134,19438,1528,9
135,24413,1332,4
136,19522,1573,4
137,21446,1695,3
138,40499,1520,2
139,1710,1814,4
140,15253,1337,9
141,38550,1967,1
142,35839,417,6
143,49428,1087,6
144,37913,1867,4
145,19269,186,10
146,16486,252,6
147,33251,1972,9
148,33163,1086,8
149,27385,887,7
150,9867,1703,8
151,45498,519,4
152,36538,160,9
153,16525,597,9
154,19142,1879,9
155,7992,978,5
156,48320,844,4
157,37314,1461,6
158,16728,913,1
159,4579,1121,10
160,5885,1707,3
161,44513,803,5
162,23881,1535,6
163,45919,883,1
164,34512,774,1
165,30600,1789,9
166,14933,663,4
167,4073,1133,7
168,24443,1951,3
169,18386,54,3
170,19695,986,9
171,3095,321,6
172,20537,1656,3
173,37114,1923,5
174,44104,315,9
175,36241,1556,8
176,25687,1140,1
177,20436,1027,8
178,26181,451,2
179,29070,1735,6
180,35214,1411,5
181,48930,888,7
182,25894,1696,5
183,7735,1822,1
184,21541,1488,3
185,49302,620,9
186,26880,194,5
187,24834,1453,8
188,12904,487,5
189,27089,1090,6
190,27257,1311,1
191,19208,131,10
192,38305,1889,3
193,4423,1756,6
194,11015,8,7
195,46056,1192,1
196,25911,1238,1
197,5299,364,4
198,33758,1002,8
199,1102,254,5
200,16751,1277,1
201,14311,583,9
202,40455,411,9
203,36261,228,9
204,13904,1642,7
205,29433,792,1
206,33043,200,2
207,25185,1389,8
208,1056,1034,2
209,20667,69,4
210,44855,428,2
211,8958,840,7
212,46386,578,2
213,49179,1851,5
214,46257,1665,7
215,1516,171,8
216,10969,156,9
217,12096,1414,4
218,8708,1774,7
219,3466,1123,4
220,34869,1339,7
221,17690,1278,8
222,11697,1951,7
223,40733,580,8
224,18058,1342,5
225,34026,1414,7
226,43516,1754,8
227,22162,980,3
228,4022,890,1
229,9138,1227,7
230,12998,206,3
231,40321,1612,6
232,49884,944,6
233,17184,427,2
234,14359,118,2
235,35817,1598,10
236,15551,1083,6
237,32248,564,10
238,21941,1748,2
239,12840,1761,4
240,43765,267,2
241,18025,225,2
242,34115,1887,2
243,19351,427,9
244,30305,891,7
245,22732,1257,10
246,41020,1597,9
247,4902,122,5
248,23875,943,6
249,14122,505,5
250,29825,134,1
251,11702,1681,2
252,22946,13,3
253,21181,836,8
254,47810,952,10
255,35898,474,8
256,9137,1505,3
257,36556,1130,1
258,10212,1422,10
259,1012,897,3
260,21467,614,1
261,39390,1470,9
262,18903,1677,7
263,47692,1726,4
264,20736,354,3
265,33028,451,4
266,56,363,2
267,17624,1686,1
268,26777,448,5
269,34666,1614,9
270,33602,258,6
271,482,250,3
272,25725,728,9
273,15933,1612,3
274,7328,1827,10
275,42988,451,3
276,5236,1823,8
277,6536,306,1
278,41006,1548,5
279,29341,1895,4
280,46342,1109,9
281,32327,1921,4
282,16872,176,4
283,41251,1526,8
284,42438,60,1
285,3457,910,5
286,49059,911,3
287,24586,338,7
288,48799,669,9
289,15945,831,3
290,22921,640,8
291,4793,785,5
292,3303,1687,7
293,23566,527,7
294,42327,938,4
295,11563,1890,5
296,28781,952,4
297,17485,1866,4
298,29204,948,10
299,30991,730,4
300,28682,1957,3
301,3269,821,8
302,17238,1758,10
303,21638,178,9
304,31887,1875,3
305,20916,34,9
